Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
14,527180040,20,85.0,10176,7,5,1990,1990,0.0,637.0,0.0,663.0,1300.0,1341,0,0,7.2019163175316265,1.0,0.0,1,1,2,1,5,1,1990.0,2.0,506.0,192,0,0,0,0,0,0,2,2010,12.052344376474922
20,527302110,20,85.0,13175,6,6,1978,1988,119.0,790.0,163.0,589.0,1542.0,2073,0,0,7.637234388789472,1.0,0.0,2,0,3,1,7,2,1978.0,2.0,500.0,349,0,0,0,0,0,0,2,2010,12.25486757159303
21,527358140,20,105.0,11751,6,6,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,7.520234556474628,0.0,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,0,0,0,0,1,2010,12.154784614286667
22,527358200,85,85.0,10625,7,6,1974,1974,81.0,885.0,168.0,0.0,1053.0,1173,0,0,7.068172000388041,1.0,0.0,2,0,3,1,6,2,1974.0,2.0,528.0,0,120,0,0,0,0,0,1,2010,12.043559598368038
23,527368020,60,69.22459016393442,7500,7,5,2000,2000,0.0,533.0,0.0,281.0,814.0,814,860,0,7.423568444259167,1.0,0.0,2,1,3,1,7,0,2000.0,2.0,663.0,0,96,0,0,0,0,0,1,2010,12.283038316285214
24,527402200,20,69.22459016393442,11241,6,7,1970,1970,180.0,578.0,0.0,426.0,1004.0,1004,0,0,6.912742820493176,1.0,0.0,1,0,2,1,5,1,1970.0,2.0,480.0,0,0,0,0,0,0,700,3,2010,11.91170829631447
25,527402250,20,69.22459016393442,12537,5,6,1971,2008,0.0,734.0,0.0,344.0,1078.0,1078,0,0,6.983789965258135,1.0,0.0,1,1,3,1,6,1,1971.0,2.0,500.0,0,0,0,0,0,0,0,4,2010,11.917730355182513
26,527403020,20,65.0,8450,5,6,1968,1968,0.0,775.0,0.0,281.0,1056.0,1056,0,0,6.963189985870238,1.0,0.0,1,0,3,1,6,1,1968.0,1.0,304.0,0,85,184,0,0,0,0,7,2010,11.863589378812122
27,527404120,20,70.0,8400,4,5,1970,1970,0.0,804.0,78.0,0.0,882.0,882,0,0,6.78332520060396,1.0,0.0,1,0,2,1,4,0,1970.0,2.0,525.0,240,0,0,0,0,0,0,4,2010,11.744045122410057
28,527425090,20,70.0,10500,4,5,1971,1971,0.0,432.0,0.0,432.0,864.0,864,0,0,6.762729506931879,0.0,0.0,1,0,3,1,5,1,1978.1324431613136,0.0,0.0,0,0,0,0,0,0,0,4,2010,11.652696102959753
29,527427230,120,26.0,5858,7,5,1999,1999,0.0,1051.0,0.0,354.0,1405.0,1337,0,0,7.198931240688173,1.0,0.0,2,0,2,1,5,1,1999.0,2.0,511.0,203,68,0,0,0,0,0,6,2010,12.122696471358962
30,527451180,160,21.0,1680,6,5,1971,1971,504.0,156.0,0.0,327.0,483.0,483,504,0,6.895682697747867,0.0,0.0,1,1,2,1,5,0,1971.0,1.0,264.0,275,0,0,0,0,0,0,2,2010,11.472113887062386
31,527451330,160,21.0,1680,5,5,1971,1971,492.0,300.0,0.0,225.0,525.0,525,567,0,6.996681488176538,0.0,0.0,1,1,3,1,6,0,1997.0,1.0,320.0,0,0,0,0,0,0,0,3,2010,11.566475710526321
32,527451410,160,21.0,1680,6,5,1971,1971,381.0,0.0,0.0,525.0,525.0,525,567,0,6.996681488176538,0.0,0.0,1,1,3,1,6,0,1971.0,1.0,264.0,0,0,0,0,0,0,0,3,2010,11.385103457032141
33,527452190,120,53.0,4043,6,5,1977,1977,0.0,360.0,0.0,709.0,1069.0,1069,0,0,6.975413927455952,0.0,0.0,2,0,2,1,4,1,1977.0,2.0,440.0,0,55,0,0,165,0,0,7,2010,11.755879486687116
34,527453130,160,24.0,2280,6,6,1975,1975,0.0,514.0,0.0,341.0,855.0,855,601,0,7.284134806195205,0.0,0.0,2,1,3,1,6,1,1975.0,2.0,440.0,173,0,0,0,0,0,0,6,2010,11.917730355182513
35,527453150,120,24.0,2280,7,6,1975,1975,0.0,0.0,0.0,836.0,836.0,836,0,0,6.729824070489475,0.0,0.0,1,0,2,1,4,0,1975.0,1.0,308.0,0,30,0,0,0,0,0,6,2010,11.695255355062795
36,527454200,160,24.0,2280,6,5,1978,1978,0.0,311.0,0.0,544.0,855.0,855,601,0,7.284134806195205,0.0,0.0,2,1,3,1,7,1,1978.0,2.0,440.0,26,0,0,0,0,0,0,7,2010,11.891368749982085
37,528108120,60,102.0,12858,9,5,2009,2010,162.0,0.0,0.0,1590.0,1590.0,1627,707,0,7.755767170102997,0.0,0.0,2,1,3,1,10,1,2009.0,3.0,751.0,144,133,0,0,0,0,0,1,2010,12.837777839071741
38,528112020,20,98.0,11478,8,5,2007,2008,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,7.441320389717617,1.0,0.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,0,0,0,0,5,2010,12.631343648903034
39,528120060,20,83.0,10159,9,5,2009,2010,450.0,1646.0,0.0,284.0,1930.0,1940,0,0,7.57095858316901,1.0,0.0,2,1,3,1,8,1,2010.0,3.0,606.0,168,95,0,0,0,0,0,4,2010,12.887129532148373
40,528120090,20,94.0,12883,8,5,2009,2010,256.0,0.0,0.0,1544.0,1544.0,1544,0,0,7.3427791893318455,0.0,0.0,2,0,3,1,7,0,2009.0,3.0,868.0,0,35,0,0,0,0,0,6,2010,12.580879213573434
41,528120100,20,95.0,12182,7,5,2005,2005,226.0,1201.0,0.0,340.0,1541.0,1541,0,0,7.340835554123275,0.0,0.0,2,0,3,1,7,1,2005.0,2.0,532.0,0,70,0,0,0,0,0,5,2010,12.301387370778713
42,528120120,20,90.0,11520,9,5,2005,2005,615.0,110.0,0.0,1588.0,1698.0,1698,0,0,7.437795121671932,0.0,0.0,2,0,3,1,7,1,2005.0,3.0,730.0,192,74,0,0,0,0,0,6,2010,12.524530013005732
43,528138020,20,79.0,14122,8,5,2005,2006,240.0,28.0,0.0,1794.0,1822.0,1822,0,0,7.508238774678663,0.0,0.0,2,0,3,1,8,1,2005.0,3.0,678.0,0,119,0,0,0,0,0,2,2010,12.464587201678082
44,528138060,20,70.0,10171,7,5,2004,2004,168.0,2.0,0.0,1515.0,1517.0,1535,0,0,7.336936913707618,0.0,0.0,2,0,3,1,7,0,2004.0,2.0,532.0,0,0,0,0,0,0,0,3,2010,12.273735966890266
46,528175010,120,44.0,6371,7,5,2009,2010,128.0,733.0,0.0,625.0,1358.0,1358,0,0,7.214504414151143,1.0,0.0,2,0,2,1,6,1,2010.0,2.0,484.0,192,35,0,0,0,0,0,6,2010,12.319405795112926
48,528176070,60,105.0,13650,8,5,2002,2002,232.0,578.0,0.0,1093.0,1671.0,1687,563,0,7.719129840906732,1.0,0.0,2,1,3,1,7,1,2002.0,3.0,756.0,238,130,0,0,0,0,0,6,2010,12.676079399771027
49,528180070,120,61.0,7658,9,5,2005,2005,412.0,456.0,0.0,1296.0,1752.0,1752,0,0,7.469083884921234,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,576.0,196,82,0,0,0,0,0,2,2010,12.675766851909591
50,528181050,120,41.0,7132,8,5,2006,2006,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,7.223295679562314,0.0,0.0,2,0,2,1,6,1,2006.0,2.0,484.0,120,49,0,0,0,0,0,4,2010,12.230770136157428
51,528188120,160,36.0,2628,7,5,2003,2003,106.0,0.0,0.0,764.0,764.0,764,862,0,7.394493107219038,0.0,0.0,2,1,2,1,6,0,2003.0,2.0,474.0,0,27,0,0,0,0,0,6,2010,12.075400019877522
52,528218150,20,100.0,18494,6,5,2005,2005,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,7.1891677384203225,0.0,0.0,2,0,3,1,6,0,2005.0,2.0,430.0,36,23,0,0,0,0,0,1,2010,12.20357452783082
53,528228285,120,43.0,3203,7,5,2006,2006,14.0,16.0,0.0,1129.0,1145.0,1145,0,0,7.044032897274684,0.0,0.0,2,0,2,1,6,0,2006.0,2.0,437.0,100,116,0,0,0,0,0,1,2010,11.982935344196433
54,528228440,120,43.0,3182,8,5,2004,2005,16.0,24.0,0.0,1232.0,1256.0,1269,0,0,7.146772179452637,0.0,0.0,2,0,2,1,6,1,2004.0,2.0,430.0,146,20,0,0,144,0,0,4,2010,12.165255859329688
55,528231020,80,67.0,13300,7,5,2004,2004,0.0,326.0,0.0,58.0,384.0,744,630,0,7.226209010100671,1.0,0.0,2,1,3,1,7,1,2004.0,2.0,400.0,100,0,0,0,0,0,0,6,2010,12.12541016250223
56,528240070,60,69.22459016393442,7851,6,5,2002,2002,101.8968008255934,625.0,0.0,235.0,860.0,860,1100,0,7.581209826196346,1.0,0.0,2,1,4,1,8,2,2002.0,2.0,440.0,288,48,0,0,0,0,0,5,2010,12.285350445351659
57,528240130,60,63.0,8577,7,5,2004,2004,0.0,0.0,0.0,847.0,847.0,847,886,0,7.458186157340487,0.0,0.0,2,1,3,1,7,1,2004.0,2.0,433.0,144,48,0,0,0,0,0,4,2010,12.12859206945914
58,528250100,80,69.22459016393442,7750,7,5,2000,2000,0.0,250.0,0.0,134.0,384.0,774,656,0,7.266128779556451,0.0,0.0,2,1,3,1,7,1,2000.0,2.0,400.0,180,0,0,0,0,0,0,4,2010,12.100717685412471
59,528292020,60,69.22459016393442,9505,7,5,2001,2001,180.0,0.0,0.0,884.0,884.0,884,1151,0,7.618742377670413,0.0,0.0,2,1,3,1,8,1,2001.0,2.0,434.0,144,48,0,0,0,0,0,5,2010,12.312686874960354
62,528358010,20,59.0,10593,7,5,1996,1996,338.0,919.0,0.0,801.0,1720.0,1720,0,0,7.450660796211539,1.0,0.0,2,0,3,1,7,1,1996.0,2.0,527.0,240,56,154,0,0,0,0,3,2010,12.469978029554953
63,528363130,60,98.0,12256,8,5,1994,1995,362.0,1032.0,0.0,431.0,1463.0,1500,1122,0,7.872073979866873,1.0,0.0,2,1,3,1,9,2,1994.0,2.0,712.0,186,32,0,0,0,0,0,4,2010,12.691583538230217
64,528382020,60,92.0,11764,8,7,1999,2007,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,7.7279755421055585,0.0,0.0,2,1,4,1,9,1,1999.0,3.0,671.0,132,57,0,0,0,0,0,4,2010,12.577639650232573
65,528382030,60,58.0,16770,7,5,1998,1998,30.0,0.0,0.0,1195.0,1195.0,1195,644,0,7.517520850603031,0.0,0.0,2,1,4,1,7,0,1998.0,2.0,486.0,0,81,0,0,0,0,0,6,2010,12.30592250537653
66,528386040,50,56.0,14720,8,5,1995,1996,579.0,816.0,0.0,1217.0,2033.0,2053,1185,0,8.08301991917133,1.0,0.0,2,1,4,1,9,1,1996.0,3.0,666.0,283,86,0,0,0,0,0,3,2010,12.923914877701906
67,528445060,20,73.0,8987,8,5,2005,2006,226.0,0.0,0.0,1595.0,1595.0,1595,0,0,7.375255778009754,0.0,0.0,2,0,2,1,6,1,2005.0,3.0,880.0,144,0,0,0,0,0,0,5,2010,12.308182383129822
68,528456160,20,92.0,9215,7,5,2009,2010,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,7.105786129481271,0.0,0.0,2,0,2,1,4,0,2009.0,2.0,676.0,0,136,0,0,0,0,0,4,2010,12.228328144428588
69,528458070,60,72.0,8640,7,5,2009,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,7.344719054149672,0.0,0.0,2,1,3,1,7,0,2009.0,2.0,614.0,169,45,0,0,0,0,0,6,2010,12.279327754099118
70,528458110,20,75.0,9000,8,5,2008,2008,36.0,1078.0,0.0,488.0,1566.0,1566,0,0,7.356918242356021,1.0,0.0,2,0,3,1,7,0,2008.0,2.0,750.0,144,168,0,0,0,0,0,4,2010,12.478010170530368
71,528477080,60,100.0,12552,7,5,2004,2005,0.0,222.0,0.0,769.0,991.0,991,956,0,7.5745584842024805,0.0,0.0,2,1,3,1,8,1,2004.0,2.0,678.0,0,136,0,0,0,0,0,5,2010,12.448630513463613
73,531367050,60,76.0,10142,7,5,2004,2004,0.0,656.0,0.0,300.0,956.0,956,1128,0,7.642524134232902,1.0,0.0,2,1,4,1,8,0,2004.0,2.0,618.0,0,45,0,0,0,0,0,1,2010,12.358798024384122
74,531369060,60,70.0,11920,7,5,2004,2004,122.0,0.0,0.0,831.0,831.0,831,828,0,7.414572881350589,0.0,0.0,2,1,3,1,8,0,2004.0,2.0,484.0,144,68,0,0,0,0,0,4,2010,12.10625783509458
75,531380080,60,69.22459016393442,8880,7,5,1994,2002,0.0,695.0,0.0,253.0,948.0,1222,888,0,7.65491704784832,1.0,0.0,2,1,3,1,8,2,1994.0,2.0,463.0,0,130,0,0,0,0,0,5,2010,12.230770136157428
76,531451110,120,50.0,8012,6,5,1980,1980,0.0,543.0,119.0,261.0,923.0,923,0,0,6.828712071641684,0.0,0.0,2,0,2,1,5,1,1980.0,1.0,264.0,80,0,0,0,0,0,0,5,2010,11.870606902224585
78,531452020,120,55.0,7892,6,5,1979,1979,0.0,0.0,0.0,918.0,918.0,918,0,0,6.823286122355687,0.0,0.0,2,0,2,1,5,1,1979.0,1.0,264.0,28,0,0,0,0,0,0,4,2010,11.507922973347437
79,531452050,120,50.0,7175,6,5,1984,1984,0.0,623.0,121.0,0.0,744.0,752,0,0,6.6240652277998935,1.0,0.0,1,0,2,1,4,0,1984.0,1.0,264.0,353,0,0,0,90,0,0,2,2010,11.736077016252437
81,531453010,20,81.0,9672,6,5,1984,1985,0.0,338.0,0.0,702.0,1040.0,1097,0,0,7.001245622069476,0.0,0.0,2,0,3,1,6,0,1986.0,2.0,480.0,0,0,0,0,0,0,0,5,2010,11.931642378754141
83,531477050,30,70.0,9800,5,5,1920,1950,0.0,0.0,0.0,816.0,816.0,1012,0,0,6.920671504248683,0.0,0.0,1,0,2,1,5,0,1920.0,1.0,429.0,121,0,80,0,0,0,0,4,2010,11.119897691565697
85,532354090,85,88.0,11782,5,7,1961,1995,0.0,899.0,0.0,210.0,1109.0,1155,0,0,7.052721049232322,1.0,0.0,1,0,3,1,6,0,1987.0,2.0,576.0,192,0,0,0,0,0,400,6,2010,11.904974309480181
86,532376160,20,65.0,8450,5,8,1965,2009,0.0,553.0,117.0,224.0,894.0,894,0,0,6.796823718274855,1.0,0.0,1,0,3,1,5,1,1973.0,1.0,336.0,416,144,0,0,0,0,0,4,2010,11.83863282480007
87,532377060,20,69.22459016393442,9819,5,5,1967,1967,31.0,450.0,0.0,432.0,882.0,900,0,0,6.803505257608338,0.0,0.0,1,0,3,1,5,0,1970.0,1.0,280.0,0,0,0,0,0,0,0,2,2010,11.711784520403112
89,532378110,20,69.22459016393442,6897,5,8,1962,2010,0.0,659.0,0.0,381.0,1040.0,1040,0,0,6.947937068614968,1.0,0.0,1,1,3,1,6,0,1962.0,1.0,260.0,0,104,0,0,0,0,0,4,2010,11.751950239425476
91,533130020,60,107.0,10186,7,5,1992,1992,0.0,674.0,0.0,76.0,750.0,1061,862,0,7.562161631225652,1.0,0.0,2,1,3,1,8,1,1992.0,2.0,564.0,240,39,0,0,0,0,0,6,2010,12.154784614286667
93,533130160,60,88.0,11134,8,5,1992,1993,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,7.7079615318354895,1.0,0.0,2,1,4,1,7,1,1992.0,3.0,713.0,198,30,0,0,0,0,0,6,2010,12.560247968016562
94,533205060,120,25.0,4835,7,5,2004,2005,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,7.305860032684008,1.0,0.0,2,0,2,1,6,1,2004.0,2.0,506.0,168,50,0,0,0,0,0,3,2010,12.468440756144114
95,533208090,160,39.0,3515,7,5,2004,2004,0.0,0.0,0.0,840.0,840.0,840,840,0,7.427144133408615,0.0,0.0,2,1,2,1,3,0,2004.0,2.0,588.0,0,111,0,0,0,0,0,1,2010,12.154784614286667
96,533210060,160,30.0,3215,7,5,2004,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,7.0909098220799835,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,4,2010,11.951186847493474
97,533212010,160,30.0,3182,7,5,2004,2005,0.0,0.0,0.0,600.0,600.0,600,600,0,7.0909098220799835,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,6,2010,11.92504173829169
98,533212020,160,24.0,2544,7,5,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,7.0909098220799835,1.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,2,2010,11.915058360753717
99,533212060,160,24.0,2544,6,5,2005,2005,216.0,376.0,0.0,224.0,600.0,600,636,0,7.1204443723924875,1.0,0.0,2,1,2,1,4,0,2005.0,2.0,480.0,0,166,0,0,0,0,0,5,2010,11.931642378754141
100,533213030,20,69.22459016393442,4403,7,5,2009,2009,432.0,578.0,0.0,892.0,1470.0,1478,0,0,7.2991214627108,1.0,0.0,2,1,2,1,7,1,2009.0,2.0,484.0,0,144,0,0,0,0,0,6,2010,12.310437165348775
101,533221090,160,69.22459016393442,2117,6,5,2000,2000,216.0,378.0,0.0,378.0,756.0,769,804,0,7.3613754289773485,0.0,0.0,2,1,3,1,5,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,6,2010,12.086731521684554
103,533223020,160,24.0,2572,7,5,1999,1999,0.0,604.0,0.0,92.0,696.0,696,720,0,7.25629723969068,1.0,0.0,2,1,3,1,6,0,1999.0,2.0,484.0,0,44,0,0,0,0,0,5,2010,11.951186847493474
104,533223100,160,69.22459016393442,2403,7,5,2003,2003,0.0,244.0,0.0,286.0,530.0,530,550,0,6.985641817639208,0.0,0.0,2,1,2,1,4,0,2003.0,2.0,496.0,0,50,0,0,0,0,0,6,2010,11.898942682855576
106,533244030,60,68.0,7379,8,5,2000,2000,0.0,484.0,0.0,491.0,975.0,975,873,0,7.522400231387125,1.0,0.0,2,1,3,1,7,1,2000.0,2.0,592.0,280,184,0,0,0,0,0,4,2010,12.445093483000797
107,533253060,120,30.0,4420,8,5,1980,1980,0.0,728.0,0.0,0.0,728.0,788,0,0,6.670766320845874,1.0,0.0,1,0,1,1,3,1,1980.0,2.0,484.0,133,42,0,0,0,0,0,6,2010,11.951186847493474
108,533253210,120,40.0,3880,8,6,1978,1978,0.0,1052.0,0.0,174.0,1226.0,1226,0,0,7.112327444710911,1.0,0.0,1,0,1,1,4,1,1978.0,2.0,484.0,223,78,0,0,0,0,0,1,2010,12.235636302128867
109,533352170,60,69.22459016393442,13517,6,8,1976,2005,289.0,533.0,0.0,192.0,725.0,725,754,0,7.299797366758161,0.0,0.0,2,1,3,1,6,0,1976.0,2.0,475.0,0,44,0,0,0,0,0,3,2010,11.779136168550774
110,534102025,20,80.0,8000,7,5,2002,2002,0.0,833.0,0.0,659.0,1492.0,1492,0,0,7.30854279753919,1.0,0.0,2,0,3,1,6,1,2002.0,2.0,596.0,277,137,0,0,0,0,0,4,2010,12.345838935721968
111,534129040,20,69.22459016393442,10456,6,6,1967,1967,120.0,506.0,0.0,1323.0,1829.0,1829,0,0,7.512071245835466,1.0,0.0,2,0,4,1,8,0,1967.0,2.0,535.0,0,76,0,0,0,0,0,5,2010,12.294545870166347
112,534151175,60,80.0,10791,6,5,1993,1993,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,7.822444729489318,1.0,0.0,2,1,4,1,9,1,1993.0,2.0,660.0,224,32,0,0,0,0,0,3,2010,12.402876328272528
113,534152050,20,69.22459016393442,10603,6,7,1977,2001,28.0,1200.0,0.0,410.0,1610.0,1610,0,0,7.384610383176974,1.0,0.0,2,0,3,1,6,2,1977.0,2.0,480.0,168,68,0,0,0,0,0,2,2010,12.230770136157428
115,534152100,60,80.0,10421,7,5,1988,1988,42.0,394.0,0.0,586.0,980.0,980,734,0,7.44716835960004,0.0,0.0,2,1,3,1,7,1,1988.0,2.0,496.0,228,66,156,0,0,0,500,3,2010,12.188422799337028
116,534176060,20,78.0,9360,6,7,1972,2006,0.0,982.0,0.0,179.0,1161.0,1381,0,0,7.231287004327615,1.0,0.0,1,1,3,1,5,1,1972.0,2.0,676.0,0,0,0,0,0,0,0,3,2010,12.193498926601634
118,534202160,20,80.0,9600,5,5,1966,1966,172.0,698.0,0.0,534.0,1232.0,1232,0,0,7.117205503164344,1.0,0.0,1,1,3,1,6,0,1966.0,2.0,490.0,0,224,0,0,0,0,0,4,2010,11.865348381840844
119,534251320,20,69.22459016393442,9790,6,5,1963,1963,451.0,569.0,81.0,678.0,1328.0,1328,0,0,7.192182058713245,1.0,0.0,1,1,3,1,6,2,1963.0,2.0,528.0,0,26,0,0,0,0,0,6,2010,11.870606902224585
120,534276360,20,77.0,9320,4,5,1959,1959,0.0,569.0,0.0,381.0,950.0,1225,0,0,7.111512116496156,1.0,0.0,1,1,3,1,6,0,1978.1324431613136,0.0,0.0,352,0,0,0,0,0,400,1,2010,11.767187766223199
121,534401110,20,90.0,9900,5,5,1966,1966,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,7.098375638590786,1.0,0.0,1,0,3,1,6,0,1966.0,2.0,504.0,0,0,120,0,0,0,0,4,2010,11.976665770490767
123,534403360,80,69.22459016393442,10600,6,5,1964,1964,0.0,0.0,0.0,533.0,533.0,1131,644,0,7.4821189235521155,0.0,0.0,2,0,3,1,8,0,1964.0,2.0,480.0,0,172,0,0,0,0,0,5,2010,11.822620954414862
124,534403410,80,69.22459016393442,14112,5,7,1964,1964,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,7.050122520269059,1.0,0.0,1,0,3,1,6,1,1964.0,2.0,484.0,227,0,0,0,0,0,0,4,2010,12.103491596905931
125,534425310,85,80.0,8800,6,7,1963,1963,156.0,763.0,0.0,173.0,936.0,1054,0,0,6.961296045910166,1.0,0.0,1,0,3,1,6,0,1963.0,2.0,480.0,120,0,0,0,0,0,0,5,2010,11.831386468789589
128,534431050,50,68.0,9724,5,7,1952,2002,265.0,670.0,0.0,470.0,1140.0,1929,532,0,7.808729306744398,0.0,0.0,2,0,3,1,7,2,1994.0,2.0,400.0,0,0,0,0,0,0,0,3,2010,12.194005125011843
129,534431070,50,120.0,17360,6,6,1949,1950,340.0,300.0,0.0,482.0,782.0,1019,537,0,7.350516171833998,0.0,0.0,2,0,3,1,6,1,1949.0,2.0,470.0,0,0,150,0,0,0,0,1,2010,12.058158312538197
130,534450180,20,50.0,7207,5,7,1958,2008,0.0,696.0,0.0,162.0,858.0,858,0,0,6.755768921984255,1.0,0.0,1,0,2,1,4,0,1978.1324431613136,0.0,0.0,117,0,0,0,0,0,0,2,2010,11.665655135642039
132,534475100,20,80.0,9920,5,5,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,6.969790669901589,1.0,0.0,1,0,3,1,6,0,1954.0,1.0,280.0,0,0,164,0,0,0,0,2,2010,11.759793355371237
133,534476260,80,80.0,9600,6,6,1955,1972,164.0,674.0,132.0,350.0,1156.0,1520,0,0,7.327123292259293,1.0,0.0,1,0,3,1,7,2,1955.0,1.0,364.0,0,0,189,0,0,0,0,3,2010,11.938199736300925
134,534479320,20,78.0,7800,5,6,1954,1954,200.0,540.0,0.0,728.0,1268.0,1268,0,0,7.1459844677143876,0.0,0.0,1,0,2,1,7,1,1954.0,1.0,244.0,0,98,0,0,0,0,0,3,2010,11.790564777297387
135,535101020,85,75.0,11380,6,8,1966,2008,216.0,944.0,0.0,136.0,1080.0,1128,0,0,7.029087564149662,1.0,0.0,1,0,2,1,5,1,1966.0,1.0,315.0,238,0,0,0,0,0,1500,1,2010,12.08954444723597
137,535125010,20,69.22459016393442,19900,7,5,1970,1989,287.0,912.0,0.0,1035.0,1947.0,2207,0,0,7.699842407396986,1.0,0.0,2,0,3,1,7,1,1970.0,2.0,576.0,301,0,0,0,0,0,0,7,2010,12.100717685412471
140,535152050,20,70.0,8197,7,5,2003,2009,506.0,1188.0,0.0,292.0,1480.0,1480,0,0,7.300472814267798,1.0,0.0,2,0,3,1,7,0,2003.0,2.0,620.0,252,73,0,0,0,0,300,2,2010,12.273735966890266
